Airport,longitude,latitude,Heading,Tilt,Range,population
Shanghai Pudong 上海浦东,121.4697698,31.15946622,6.973970656,5.36E-11,76394.24399,0
Shanghai Hongqiao 上海虹桥,121.3742118,31.20624763,6.924501643,5.03E-11,19326.61562,0
Nantong 南通,120.9936128,32.07029739,6.733137739,4.85E-11,50427.77421,0
Wuxi 无锡,120.4477531,31.50740242,6.44396447,5.05E-11,33259.21692,0
Rugao 如皋,120.5138682,32.25873122,6.477662967,4.46E-11,28055.40291,0
Yancheng 盐城,120.2154041,33.42718256,6.313573901,5.39E-11,8918.459146,0
Suqian 宿迁,117.581147,34.0511978,4.856221705,5.04E-11,21301.44637,0
Tieling 铁岭,124.0061954,42.53995229,9.910831847,5.22E-11,26843.00218,0
Shenyang Baita 沈阳白塔,123.4352609,41.86844029,9.528555045,5.10E-11,12314.1339,0
Shenyang Tiexi 沈阳铁西,123.3265794,41.81654679,9.456049816,4.54E-11,14766.29572,0
Shenyang (abandoned?) 沈阳,123.5223737,41.78240147,9.58664519,4.11E-11,12314.1339,0
Liaoyang 辽阳,123.1003578,41.27110476,9.30700882,5.67E-11,11430.52194,0
Shenyang 沈阳,123.4649831,41.61054993,9.548325354,5.96E-11,23313.61008,0
Anshan 鞍山,122.861052,41.03706075,9.14997956,6.01E-11,46007.93317,0
Fuxin 阜新,121.6569011,42.07773288,8.353964951,6.21E-11,10975.2261,0
Shanhaiguan 山海关,120.3642494,40.29693585,7.505393763,5.49E-11,13950.15576,0
Yangcun 杨村,117.0834354,39.36269309,0.422910617,2.91E-11,12695.01039,0
Xingcheng 兴城,120.7133018,40.59607067,7.732842904,5.70E-11,14426.42032,0
Jinzhou 锦州,121.0926046,41.11038365,7.980414535,6.09E-11,22842.84911,0
Jinxi 锦西,120.8783787,40.74836236,7.840184488,6.79E-11,12451.38237,0
Qinhuangdao 秦皇岛,119.7467678,39.9782085,7.10710737,4.31E-11,4637.879647,0
Tangshan 唐山,118.1435524,39.65483112,6.085116381,3.13E-11,9936.229887,0
Dingzhou 定州,114.6379713,38.25592069,-1.094470242,3.85E-11,31455.89011,0
Zhuozhou 涿州,115.8450137,39.24293449,-0.340443626,3.70E-11,15420.14707,0
Beijing 北京,116.5889878,40.06850112,0.133014871,3.83E-11,24180.06301,0
Tianjin 天津,117.3830798,39.13548198,0.615245365,3.75E-11,33912.14579,0
Beijing Tongzhou 北京通州,116.725092,39.81487591,0.220275663,4.86E-11,13493.82204,0
Beijing Changping 北京昌平,116.3540688,40.15987616,-0.018778655,4.62E-11,24518.43069,0
Beijing Nanyuan 北京南苑,116.3963947,39.80195693,0.008161365,4.95E-11,24518.43069,0
Linyi 临沂,118.4127378,35.04194317,1.063293432,4.47E-11,10289.22569,0
Beijing Xijiao 北京西郊,116.30289,39.95451923,-0.05151849,4.29E-11,24518.43069,0
Shijiazhuang 石家庄,114.440997,38.08263713,-1.238030854,4.86E-11,14145.39856,0
Shangqiu 商邱,115.4578766,34.44986265,-0.604267618,5.32E-11,13080.91721,0
Xuzhou 徐州,117.265697,34.22043186,0.413270057,5.02E-11,23832.67714,0
Cangzhou 沧州,116.9552487,38.39240246,0.137592709,4.01E-11,29830.06625,0
Dezhou 德州,116.1491441,37.4807711,-0.35641437,3.74E-11,14000.65289,0
Jinan 济南,116.9986826,36.69781407,0.156081533,4.17E-11,29765.29115,0
Wencheng,122.2490971,37.1386075,3.36209033,3.70E-11,27522.85603,0
Yantai 烟台,121.3691383,37.38594511,2.827873139,4.00E-11,27522.85603,0
Qingdao Sifang 青岛,120.4132712,36.14682611,2.247397288,4.64E-11,14088.89195,0
Qingdao 青岛,120.4215523,36.23534433,2.252268042,4.55E-11,28266.45285,0
Gaomi 高密,119.7427692,36.37267721,1.850462618,4.11E-11,28266.45285,0
Jiao Zhou 胶州,120.0716153,36.31922191,2.045105857,4.40E-11,28266.45285,0
Weifang 维坊,119.1402979,36.65032896,1.491660564,3.83E-11,28266.45285,0
济南,117.1380211,36.83275267,0.293583154,4.97E-11,27346.25037,0
